comparison,city,population_method,difference_m,cells,allocated_population,F_cells,F_allocated_population
p90_minus_mean,Both,all,-1.09849274455,1,0.769543008558,0.0221597486357,0.0183139489742
p90_minus_mean,Both,all,-1.08941027978,1,2185.42921146,0.0223251198942,0.0186723572759
p90_minus_mean,Both,all,-1.07838425728,1,1624.71872758,0.0224904911526,0.0189388095942
p90_minus_mean,Both,all,-1.01221474799,1,1.34513274753,0.0226558624111,0.0189390301947
p90_minus_mean,Both,all,-0.938969005,1,1215.98363481,0.0228212336696,0.0191384503485
p90_minus_mean,Both,all,-0.875328947701,1,227.80566348,0.0229866049281,0.0191758102596
p90_minus_mean,Both,all,-0.869789406052,1,2875.99958152,0.0231519761865,0.0196474714419
p90_minus_mean,Both,all,-0.858551455285,1,1979.89085745,0.023317347445,0.01997217165
p90_minus_mean,Both,all,-0.846340578845,1,112.534953043,0.0234827187035,0.0199906272748
p90_minus_mean,Both,all,-0.828661704582,1,600.725955804,0.023648089962,0.0200891457573
p90_minus_mean,Both,all,-0.816468089002,1,61.8101926812,0.0238134612204,0.0200992825698
p90_minus_mean,Both,all,-0.80559106149,1,2049.90483896,0.0239788324789,0.020435465004
p90_minus_mean,Both,all,-0.778129804085,1,47.994331031,0.0241442037374,0.0204433360284
p90_minus_mean,Both,all,-0.701984085621,1,252.795705418,0.0243095749959,0.0204847942825
p90_minus_mean,Both,all,-0.69622016104,1,21.7758248784,0.0244749462543,0.0204883654969
p90_minus_mean,Both,all,-0.678286742744,1,2687.02560955,0.0246403175128,0.0209290351285
p90_minus_mean,Both,all,-0.64224573859,1,980.842061412,0.0248056887713,0.021089892289
p90_minus_mean,Both,all,-0.603199455763,1,1310.37786406,0.0249710600298,0.0213047930062
p90_minus_mean,Both,all,-0.590304375919,1,1380.41865293,0.0251364312882,0.0215311803458
p90_minus_mean,Both,all,-0.541353783259,1,216.388166873,0.0253018025467,0.0215666677983
p90_minus_mean,Both,all,-0.472148249257,1,839.759820906,0.0254671738052,0.0217043876063
p90_minus_mean,Both,all,-0.461275450725,1,25.3721546973,0.0256325450637,0.0217085486154
p90_minus_mean,Both,all,-0.45189088569,1,234.777461835,0.0257979163221,0.0217470518947
p90_minus_mean,Both,all,-0.439677283531,1,18.8085388011,0.0259632875806,0.0217501364771
p90_minus_mean,Both,all,-0.434742119148,1,2992.14792745,0.0261286588391,0.0222408458771
p90_minus_mean,Both,all,-0.433570506014,1,173.468830636,0.0262940300976,0.0222692945995
p90_minus_mean,Both,all,-0.427926806604,1,1972.76140892,0.026459401356,0.0225928255849
p90_minus_mean,Both,all,-0.413413623059,1,447.656613673,0.0266247726145,0.0226662408417
p90_minus_mean,Both,all,-0.394377405348,1,419.078711585,0.026790143873,0.0227349693498
p90_minus_mean,Both,all,-0.381981237077,1,581.663059187,0.0269555151315,0.0228303615355
p90_minus_mean,Both,all,-0.359670816672,1,835.831191831,0.0271208863899,0.022967437052
p90_minus_mean,Both,all,-0.356149120548,1,43.6852948601,0.0272862576484,0.0229746013986
p90_minus_mean,Both,all,-0.339240716305,1,1.89771533657,0.0274516289069,0.0229749126221
p90_minus_mean,Both,all,-0.312914370378,1,477.4103361,0.0276170001654,0.0230532074609
